NSE:RTNINDIA-EQ
NSE:POONAWALLA-EQ
NSE:TATAELXSI-EQ
NSE:NAZARA-EQ
NSE:POLICYBZR-EQ
NSE:IFBIND-EQ
NSE:INFIBEAM-EQ
NSE:PRIVISCL-EQ
NSE:RBLBANK-EQ
NSE:GAEL-EQ
NSE:APTUS-EQ
NSE:IGL-EQ
NSE:KEI-EQ
NSE:DBL-EQ
NSE:CHEMPLASTS-EQ
NSE:MAPMYINDIA-EQ
NSE:UNIONBANK-EQ
NSE:MHRIL-EQ
NSE:CAPLIPOINT-EQ
NSE:VIJAYA-EQ
NSE:TIINDIA-EQ
NSE:RENUKA-EQ
NSE:WELCORP-EQ
NSE:MRF-EQ
NSE:HAPPSTMNDS-EQ
NSE:RATNAMANI-EQ
NSE:UCOBANK-EQ
NSE:NETWORK18-EQ
NSE:JSLHISAR-EQ
NSE:AMBER-EQ
NSE:EDELWEISS-EQ
NSE:IRCTC-EQ
NSE:APLAPOLLO-EQ
NSE:PCBL-EQ
NSE:GOCOLORS-EQ
NSE:POLYMED-EQ
NSE:AUBANK-EQ
NSE:GESHIP-EQ
NSE:INDIANB-EQ
NSE:TVSMOTOR-EQ
NSE:POWERINDIA-EQ
NSE:ZFCVINDIA-EQ
NSE:STAR-EQ
NSE:SAREGAMA-EQ
NSE:CREDITACC-EQ
NSE:FLUOROCHEM-EQ
NSE:EASEMYTRIP-EQ
NSE:ASTERDM-EQ
NSE:DHANI-EQ
NSE:ABFRL-EQ
NSE:CANFINHOME-EQ
NSE:CUMMINSIND-EQ
NSE:ASHOKLEY-EQ
NSE:EIDPARRY-EQ
NSE:QUESS-EQ
NSE:POLYCAB-EQ
NSE:ASAHIINDIA-EQ
NSE:KEC-EQ
NSE:BDL-EQ
NSE:BRIGADE-EQ
NSE:MEDPLUS-EQ
NSE:AFFLE-EQ
NSE:RBA-EQ
NSE:TTKPRESTIG-EQ
NSE:BHARATFORG-EQ
NSE:KPITTECH-EQ
NSE:JUBLINGREA-EQ
NSE:ENDURANCE-EQ
NSE:SYMPHONY-EQ
NSE:PNCINFRA-EQ
NSE:RAILTEL-EQ
NSE:SANOFI-EQ
NSE:APOLLOTYRE-EQ
NSE:DEEPAKNTR-EQ
NSE:JAMNAAUTO-EQ
NSE:MAXHEALTH-EQ
NSE:ZYDUSWELL-EQ
NSE:BALRAMCHIN-EQ
NSE:GODREJIND-EQ
NSE:CRISIL-EQ
NSE:ALOKINDS-EQ
NSE:POLYPLEX-EQ
NSE:INDIGOPNTS-EQ
NSE:WOCKPHARMA-EQ
NSE:IDEA-EQ
NSE:ALLCARGO-EQ
NSE:ASTRAZEN-EQ
NSE:ITI-EQ
NSE:JKLAKSHMI-EQ
NSE:VAIBHAVGBL-EQ
NSE:PRAJIND-EQ
NSE:BCG-EQ
NSE:HFCL-EQ
NSE:GPPL-EQ
NSE:PRSMJOHNSN-EQ
NSE:JUSTDIAL-EQ
NSE:BANKINDIA-EQ
NSE:ROUTE-EQ
NSE:GMRINFRA-EQ
NSE:ABB-EQ
NSE:SPARC-EQ
NSE:RHIM-EQ
NSE:HIKAL-EQ
NSE:TATASTLLP-EQ
NSE:TATAINVEST-EQ
NSE:RVNL-EQ
NSE:KAJARIACER-EQ
NSE:WELSPUNIND-EQ
NSE:RADICO-EQ
NSE:PRESTIGE-EQ
NSE:CCL-EQ
NSE:SPICEJET-EQ
NSE:VBL-EQ
NSE:HEG-EQ
NSE:COFORGE-EQ
NSE:SUZLON-EQ
NSE:WESTLIFE-EQ
NSE:AARTIDRUGS-EQ
NSE:IEX-EQ
NSE:CDSL-EQ
NSE:BASF-EQ
NSE:BHEL-EQ
NSE:TRENT-EQ
NSE:SCI-EQ
NSE:SKFINDIA-EQ
NSE:BBTC-EQ
NSE:CENTURYPLY-EQ
NSE:NIACL-EQ
NSE:INDOCO-EQ
NSE:GICRE-EQ
NSE:PGHL-EQ
NSE:TCNSBRANDS-EQ
NSE:TRIDENT-EQ
NSE:BORORENEW-EQ
NSE:JKPAPER-EQ
NSE:TATAPOWER-EQ
NSE:IRB-EQ
NSE:VMART-EQ
NSE:NLCINDIA-EQ
NSE:COCHINSHIP-EQ
NSE:GRANULES-EQ
NSE:VENKEYS-EQ
NSE:GMMPFAUDLR-EQ
NSE:CENTRALBK-EQ
NSE:PAGEIND-EQ
NSE:HATHWAY-EQ
NSE:MINDAIND-EQ
NSE:JSL-EQ
NSE:NBCC-EQ
NSE:SUPREMEIND-EQ
NSE:APLLTD-EQ
NSE:SWSOLAR-EQ
NSE:VARROC-EQ
NSE:IRCON-EQ
NSE:LUXIND-EQ
NSE:THERMAX-EQ
NSE:MAHABANK-EQ
NSE:ABSLAMC-EQ
NSE:NH-EQ
NSE:GODREJPROP-EQ
NSE:DEVYANI-EQ
NSE:IPCALAB-EQ
NSE:ZEEL-EQ
NSE:PNBHOUSING-EQ
NSE:CONCOR-EQ
NSE:SOBHA-EQ
NSE:CROMPTON-EQ
NSE:TIMKEN-EQ
NSE:BIRLACORPN-EQ
NSE:IDFC-EQ
NSE:M&MFIN-EQ
NSE:RALLIS-EQ
NSE:SCHAEFFLER-EQ
NSE:MRPL-EQ
NSE:AMARAJABAT-EQ
NSE:SUVENPHAR-EQ
NSE:COROMANDEL-EQ
NSE:ISEC-EQ
NSE:LXCHEM-EQ
NSE:ECLERX-EQ
NSE:VGUARD-EQ
NSE:KALYANKJIL-EQ
NSE:ATGL-EQ
NSE:KALPATPOWR-EQ
NSE:PFIZER-EQ
NSE:JBCHEPHARM-EQ
NSE:NATCOPHARM-EQ
NSE:EPL-EQ
NSE:MFSL-EQ
NSE:SUPRAJIT-EQ
NSE:SHYAMMETL-EQ
NSE:GLS-EQ
NSE:GLAXO-EQ
NSE:VAKRANGEE-EQ
NSE:IOB-EQ
NSE:REDINGTON-EQ
NSE:HEMIPROP-EQ
NSE:ENGINERSIN-EQ
NSE:ALKYLAMINE-EQ
NSE:CASTROLIND-EQ
NSE:CYIENT-EQ
NSE:GALAXYSURF-EQ
NSE:CGPOWER-EQ
NSE:EXIDEIND-EQ
NSE:NATIONALUM-EQ
NSE:NOCIL-EQ
NSE:ANURAS-EQ
NSE:PRINCEPIPE-EQ
NSE:FDC-EQ
NSE:TANLA-EQ
NSE:STARHEALTH-EQ
NSE:NAVINFLUOR-EQ
NSE:CENTURYTEX-EQ
NSE:MOTILALOFS-EQ
NSE:HUDCO-EQ
NSE:IRFC-EQ
NSE:CHALET-EQ
NSE:DALBHARAT-EQ
NSE:GLENMARK-EQ
NSE:KIMS-EQ
NSE:TEAMLEASE-EQ
NSE:JYOTHYLAB-EQ
NSE:HOMEFIRST-EQ
NSE:MAHLOG-EQ
NSE:SUNDRMFAST-EQ
NSE:RAIN-EQ
NSE:INDIACEM-EQ
NSE:VINATIORGA-EQ
NSE:HINDCOPPER-EQ
NSE:SONACOMS-EQ
NSE:LAURUSLABS-EQ
NSE:RCF-EQ
NSE:FINEORG-EQ
NSE:KANSAINER-EQ
NSE:METROBRAND-EQ
NSE:LAXMIMACH-EQ
NSE:SUMICHEM-EQ
NSE:INDHOTEL-EQ
NSE:BEL-EQ
NSE:ATUL-EQ
NSE:UFLEX-EQ
NSE:DELTACORP-EQ
NSE:JMFINANCIL-EQ
NSE:FINPIPE-EQ
NSE:ABCAPITAL-EQ
NSE:AJANTPHARM-EQ
NSE:GODFRYPHLP-EQ
NSE:GUJGASLTD-EQ
NSE:SJVN-EQ
NSE:MMTC-EQ
NSE:NCC-EQ
NSE:ESCORTS-EQ
NSE:SOLARINDS-EQ
NSE:GARFIBRES-EQ
NSE:ERIS-EQ
NSE:CUB-EQ
NSE:RITES-EQ
NSE:JUBLPHARMA-EQ
NSE:THYROCARE-EQ
NSE:BLUEDART-EQ
NSE:TATACOFFEE-EQ
NSE:VIPIND-EQ
NSE:LALPATHLAB-EQ
NSE:CANBK-EQ
NSE:FACT-EQ
NSE:NHPC-EQ
NSE:LICHSGFIN-EQ
NSE:KARURVYSYA-EQ
NSE:GRAPHITE-EQ
NSE:RELAXO-EQ
NSE:3MINDIA-EQ
NSE:YESBANK-EQ
NSE:BATAINDIA-EQ
NSE:FSL-EQ
NSE:WHIRLPOOL-EQ
NSE:SONATSOFTW-EQ
NSE:IDFCFIRSTB-EQ
NSE:HINDZINC-EQ
NSE:FORTIS-EQ
NSE:PVR-EQ
NSE:INDIAMART-EQ
NSE:INOXLEISUR-EQ
NSE:MAZDOCK-EQ
NSE:NESCO-EQ
NSE:CEATLTD-EQ
NSE:GRINDWELL-EQ
NSE:PHOENIXLTD-EQ
NSE:AIAENG-EQ
NSE:BSOFT-EQ
NSE:CHOLAHLDNG-EQ
NSE:L&TFH-EQ
NSE:CLEAN-EQ
NSE:LINDEINDIA-EQ
NSE:MCX-EQ
NSE:ADVENZYMES-EQ
NSE:FINCABLES-EQ
NSE:AEGISCHEM-EQ
NSE:IBULHSGFIN-EQ
NSE:SUNTV-EQ
NSE:TCIEXP-EQ
NSE:INTELLECT-EQ
NSE:RAJESHEXPO-EQ
NSE:LATENTVIEW-EQ
NSE:OIL-EQ
NSE:OBEROIRLTY-EQ
NSE:AVANTIFEED-EQ
NSE:CGCL-EQ
NSE:GODREJAGRO-EQ
NSE:MTARTECH-EQ
NSE:ELGIEQUIP-EQ
NSE:SEQUENT-EQ
NSE:PFC-EQ
NSE:GSFC-EQ
NSE:EIHOTEL-EQ
NSE:STLTECH-EQ
NSE:HAL-EQ
NSE:ZENSARTECH-EQ
NSE:BALKRISIND-EQ
NSE:DIXON-EQ
